runnable_processes,blocked_processes,swap_used,free_memory,buffer_memory,page_cache,swap_in,swap_out,blocks_in,blocks_out,interrupts,context_switches,user_cpu,system_cpu,idle_cpu,io_wait,steal_time,guest_time,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7,Principale8,Principale9,Principale10,Principale11,Principale12,Principale13,Principale14,Principale15,Principale16
1,0,338672,2446216,200164,376172,0,0,0,2,443,274,24,1,75,0,0,0,"-0,95303268","0,2782238297","0,9712866568","-0,179168948","0,7258055379","-0,927127714","0,3563791572","0,4116402244","0,0170254471","-0,169795308","-0,369406851","-0,025307872","0,1996890949","-0,229541462","-0,074773765","0,1040287758"
1,0,338672,1682096,200172,376172,0,0,0,6,442,267,24,1,75,0,0,0,"-0,987044441","0,257353119","1,093057329","-0,667014657","0,2076649334","-0,151471861","0,1624535659","0,3385193429","0,0929548506","-0,204505577","-0,372026183","-0,025151159","0,1328775925","-0,21592784","-0,043075189","0,04982123"
1,0,338672,916440,200172,376172,0,0,0,0,646,247,24,1,75,0,0,0,"-0,740529159","0,4296830654","1,3146307181","-0,990330255","-0,398157515","0,6511026142","-0,308935484","0,2773109023","-0,34670902","0,0994575796","0,1278273382","-0,140175941","-0,084385166","-0,099401023","0,00747451","-0,028430204"
1,0,338672,2623176,200172,376172,0,0,0,2,708,280,25,1,74,0,0,0,"-0,348817428","1,2617810422","0,889181466","0,3519618298","0,7174789173","-1,136060795","-0,437033184","0,6196789427","-0,052788129","0,0875477993","0,0477963597","-0,366818066","-0,429188221","0,2559327964","0,1638013417","-0,049733142"
1,0,338672,1858288,200180,376172,0,0,0,6,676,233,24,1,75,0,0,0,"-0,676902489","0,4379103392","1,1898540505","-0,37581613","0,2386515234","-0,305786544","-0,10007482","0,37289606","-0,508778262","0,1903723976","0,2173633049","-0,161368609","-0,092093323","-0,078514595","-0,029352127","0,0244932679"
1,0,338672,1096444,200180,376172,0,0,0,0,693,253,24,2,75,0,0,0,"-0,103878626","0,5156865726","1,7316410988","-0,449533922","-0,637509802","0,3346178626","0,1192173238","-1,616257687","-0,093201492","0,2931535509","0,1611976098","-0,277488843","-0,276920967","0,066084429","0,0047509408","0,064107515"
1,0,338672,2724640,200180,376172,0,0,0,2,718,292,24,1,75,0,0,0,"-0,521944504","0,5631999312","1,0847742814","0,2687799686","0,777806982","-1,168288355","0,0135366934","0,4688184701","-0,676380139","0,2823254594","0,2823314244","-0,134097274","0,0664490434","-0,154843919","-0,10766947","0,1101911479"
1,0,338672,2039588,200188,376172,0,0,0,6,671,239,24,1,75,0,0,0,"-0,671615971","0,4421577579","1,1602006841","-0,259373856","0,3613481156","-0,489598887","-0,051005711","0,3910589144","-0,511217747","0,1886479772","0,2029280289","-0,153830724","-0,065044495","-0,091165459","-0,041142783","0,0402458476"
1,0,338672,1275920,200188,376172,0,0,0,0,674,230,25,1,75,0,0,0,"-0,670015534","1,0740547478","1,093631338","-0,517397011","-0,207250088","0,2570430803","-0,669084833","0,4769283323","0,1466400781","0,077375956","0,0460024954","-0,51771468","-0,512087338","0,3779537959","0,1351762132","0,150283029"
1,0,338672,1537188,200188,376172,0,0,0,2,683,236,24,1,75,0,0,0,"-0,676835616","0,4526504871","1,239556427","-0,573058601","0,0146821154","0,0223653448","-0,19266726","0,3405982281","-0,497540341","0,1884650411","0,2304616724","-0,165139715","-0,101663858","-0,075940398","-0,012566525","0,004155357"
